HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.Fpar_1km,MOD15A2,A2000137,fn_usniwot1,2006276071905,Fpar_1km,4,4,5,5,6,11,12,6,6,7,10,12,37,53,14,18,31,41,55,53,52,18,48,53,53,51,45,50,54,55,58,55,47,48,53,57,60,55,53,53,54,56,59,53,40,37,39,39,47
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.LaiStdDev_1km,MOD15A2,A2000137,fn_usniwot1,2006276071905,LaiStdDev_1km,248,248,248,248,0,1,2,0,248,248,1,248,2,4,248,248,3,2,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,2,2,2,2,2
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.Lai_1km,MOD15A2,A2000137,fn_usniwot1,2006276071905,Lai_1km,1,1,1,1,1,2,3,1,1,1,2,2,8,14,3,3,7,9,15,14,13,3,12,13,14,13,10,12,14,14,16,15,11,12,14,15,17,14,13,13,14,15,16,13,12,11,11,11,11
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.FparExtra_QC,MOD15A2,A2000145,fn_usniwot1,2006278215750,FparExtra_QC,10100000,11000000,10100000,10001000,10110000,10001000,10110000,10110100,00100000,00100000,10001000,00000000,00000000,01001000,01000000,01000000,01000000,01000000,01000000,01001000,01001000,01000000,01001000,01000000,00000000,01001000,01001000,00001000,01001000,01000000,00000000,01001000,01001000,00001000,00001000,01001000,00000000,01001000,00001000,00000000,00000000,00001000,00000000,00000000,10000000,11000000,10000000,10000000,00001000
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.FparLai_QC,MOD15A2,A2000145,fn_usniwot1,2006278215750,FparLai_QC,00001000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,01100001,01100001,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.FparStdDev_1km,MOD15A2,A2000145,fn_usniwot1,2006278215750,FparStdDev_1km,0,0,0,6,7,4,7,7,248,248,5,9,8,13,10,11,8,9,10,13,13,7,10,10,9,13,9,12,13,9,11,12,11,12,13,12,9,13,7,5,5,14,10,11,5,5,4,5,9
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.Fpar_1km,MOD15A2,A2000145,fn_usniwot1,2006278215750,Fpar_1km,6,6,6,13,13,18,25,13,22,31,21,39,42,62,40,55,58,59,62,60,61,49,61,66,58,61,52,57,61,65,68,64,58,56,60,66,66,62,55,57,57,62,66,59,48,45,46,46,55
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.LaiStdDev_1km,MOD15A2,A2000145,fn_usniwot1,2006278215750,LaiStdDev_1km,0,0,0,1,1,1,2,1,248,248,1,3,3,10,3,5,4,5,6,10,11,3,6,7,4,10,4,6,10,6,11,11,6,6,10,11,6,11,3,2,2,12,7,7,2,2,2,2,4
MOD15A2.A2000145.fn_usniwot1.005.2006278215750.Lai_1km,MOD15A2,A2000145,fn_usniwot1,2006278215750,Lai_1km,1,1,1,3,2,5,6,2,4,7,5,9,11,20,10,15,15,16,18,18,19,11,17,20,15,19,13,16,19,19,22,21,16,15,18,21,20,19,14,14,14,19,20,18,15,16,14,14,16
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.FparExtra_QC,MOD15A2,A2000153,fn_usniwot1,2006282004344,FparExtra_QC,10100000,11000000,11000000,11000000,11000000,11001000,11001000,11000000,01000000,01000000,11000000,00001000,01001000,01001000,01000000,01000000,01000000,01000000,01000000,01000000,01001000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,01000000,00000000,01000000,00000000,11000000,10000000,10000000,10000000,00000000
